TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523941102343156,1961,2154,2672,1921,1729,1890,-219,-363,-418
132523941102352186,1952,2147,2655,1920,1730,1889,-219,-363,-418
132523941102638212,1946,2150,2679,1920,1729,1889,-213,-371,-420
132523941102780767,1952,2126,2676,1918,1729,1889,-213,-371,-420
132523941103019402,1945,2143,2693,1920,1729,1888,-213,-371,-420
132523941103101091,1931,2122,2688,1920,1729,1888,-208,-368,-421
132523941103304662,1963,2145,2671,1921,1730,1889,-208,-368,-421
132523941103542275,1937,2140,2691,1920,1728,1888,-208,-368,-421
132523941103791664,1943,2152,2678,1920,1730,1889,-208,-368,-421
132523941103969325,1931,2121,2677,1920,1730,1889,-213,-370,-421
132523941104202123,1914,2147,2670,1920,1730,1889,-213,-370,-421
132523941104392736,1937,2125,2673,1921,1729,1888,-213,-370,-421
132523941104742654,1969,2131,2685,1919,1729,1889,-216,-370,-425
132523941104751124,1951,2132,2682,1919,1729,1888,-216,-370,-425
132523941104981045,1951,2142,2686,1922,1730,1889,-216,-370,-425
132523941105101723,1947,2130,2686,1920,1729,1889,-216,-370,-425
132523941105342306,1941,2143,2669,1920,1728,1888,-209,-373,-424
132523941105599685,1938,2144,2677,1921,1729,1890,-209,-373,-424
132523941105993100,1908,2128,2662,1921,1730,1889,-209,-373,-424
132523941106001451,1938,2144,2664,1919,1732,1889,-210,-372,-428
132523941106140514,1944,2130,2676,1919,1729,1889,-210,-372,-428
132523941106293654,1964,2131,2688,1919,1729,1888,-210,-372,-428
132523941106442240,1939,2134,2677,1923,1731,1891,-210,-372,-428
132523941106689228,1935,2129,2685,1919,1729,1888,-209,-368,-428
132523941106869340,1936,2148,2672,1919,1729,1888,-209,-368,-428
132523941107029013,1952,2140,2674,1920,1729,1888,-209,-368,-428
132523941107275024,1949,2154,2679,1920,1729,1888,-218,-370,-431
132523941107453259,1963,2138,2680,1921,1727,1888,-218,-370,-431
132523941107702777,1930,2133,2671,1920,1729,1888,-218,-370,-431
132523941107843984,1956,2143,2688,1920,1729,1889,-218,-370,-431
132523941108079999,1951,2145,2678,1921,1730,1889,-210,-372,-422
132523941108253171,1949,2134,2686,1922,1731,1890,-210,-372,-422
132523941108502705,1928,2127,2691,1919,1728,1888,-210,-372,-422
132523941108602088,1947,2141,2672,1920,1729,1890,-220,-365,-420
132523941108843684,1936,2132,2663,1919,1729,1887,-220,-365,-420
132523941109115227,1952,2140,2667,1919,1728,1888,-220,-365,-420
132523941109364759,1955,2139,2675,1920,1729,1889,-220,-365,-420
132523941109379747,1958,2142,2692,1921,1730,1885,-220,-365,-420
132523941109643441,1952,2130,2689,1920,1730,1889,-220,-365,-420
132523941109852641,1949,2147,2689,1922,1731,1890,-220,-365,-420
132523941109942522,1936,2121,2687,1922,1729,1888,-207,-371,-426
132523941110193421,1941,2128,2677,1920,1729,1889,-207,-371,-426
132523941110379038,1960,2125,2682,1924,1731,1890,-207,-371,-426
132523941110681580,1934,2131,2691,1920,1729,1887,-210,-365,-422
132523941110743399,1916,2143,2683,1920,1728,1888,-210,-365,-422
132523941111001052,1942,2142,2677,1920,1728,1888,-210,-365,-422
132523941111175631,1946,2129,2667,1921,1729,1890,-210,-365,-422
132523941111363999,1935,2134,2684,1920,1728,1887,-210,-365,-427
132523941111591456,1942,2163,2699,1920,1730,1887,-210,-365,-427
132523941111850656,1949,2166,2685,1921,1730,1889,-210,-365,-427
132523941111993793,1943,2157,2671,1920,1729,1888,-207,-370,-429
132523941112207473,1954,2140,2679,1922,1730,1887,-207,-370,-429
132523941112343165,1947,2145,2670,1920,1728,1888,-207,-370,-429
132523941112581602,1932,2131,2678,1920,1729,1889,-207,-370,-429
132523941112765816,1937,2146,2675,1921,1730,1889,-208,-372,-427
132523941113014946,1935,2138,2659,1921,1730,1890,-208,-372,-427
132523941113264185,1949,2138,2665,1922,1730,1890,-208,-372,-427
132523941113362249,1951,2150,2665,1921,1731,1889,-214,-369,-422
132523941113502823,1935,2135,2667,1919,1729,1888,-214,-369,-422
132523941113738932,1941,2153,2680,1921,1729,1885,-214,-369,-422
132523941113915857,1957,2145,2690,1922,1729,1887,-214,-369,-422
132523941114079715,1942,2129,2690,1921,1730,1889,-216,-369,-427
132523941114314251,1951,2134,2675,1921,1730,1890,-216,-369,-427
132523941114550336,1929,2146,2685,1920,1728,1888,-216,-369,-427
132523941114638566,1935,2140,2688,1920,1728,1889,-216,-369,-419
132523941114904943,1943,2133,2674,1920,1730,1889,-216,-369,-419
132523941115135929,1943,2155,2654,1919,1729,1889,-216,-369,-419
132523941115230865,1960,2152,2679,1922,1729,1888,-216,-369,-419
132523941115730621,1953,2154,2678,1919,1728,1888,-214,-375,-422
132523941115749951,1946,2119,2695,1919,1729,1889,-214,-375,-422
132523941115839121,1956,2159,2689,1921,1729,1889,-214,-375,-422
132523941116090104,1940,2121,2672,1920,1729,1888,-218,-366,-421
132523941116307129,1955,2122,2690,1921,1729,1889,-218,-366,-421
132523941116439969,1937,2133,2676,1920,1730,1889,-218,-366,-421
132523941116689933,1941,2151,2689,1920,1729,1888,-218,-366,-421
132523941116940594,1937,2151,2682,1920,1729,1889,-207,-368,-426
132523941116952539,1944,2153,2691,1919,1729,1887,-207,-368,-426
132523941117314587,1955,2136,2676,1921,1729,1888,-207,-368,-426
132523941117578155,1953,2131,2677,1921,1730,1890,-214,-367,-419
132523941117630567,1900,2144,2667,1920,1728,1888,-214,-367,-419
132523941117865012,1933,2153,2689,1921,1729,1887,-214,-367,-419
132523941118004307,1943,2135,2678,1919,1731,1890,-214,-367,-419
132523941118240569,1935,2159,2678,1920,1730,1888,-208,-364,-421
132523941118415954,1957,2141,2698,1921,1730,1889,-208,-364,-421
132523941118662203,1956,2136,2663,1919,1729,1888,-208,-364,-421
132523941118753443,1934,2147,2678,1920,1728,1888,-212,-367,-428
132523941118940008,1948,2139,2687,1921,1730,1889,-212,-367,-428
132523941119250757,1928,2134,2691,1919,1728,1887,-212,-367,-428
132523941119339587,1944,2142,2707,1921,1730,1887,-212,-367,-428
132523941119613698,1964,2147,2714,1920,1729,1889,-216,-368,-424
132523941119755146,1933,2125,2691,1919,1729,1888,-216,-368,-424
132523941119989540,1947,2159,2695,1921,1730,1888,-216,-368,-424
132523941120114666,1939,2151,2679,1922,1731,1889,-216,-368,-420
132523941120613675,1970,2181,2686,1921,1730,1889,-216,-368,-420
132523941120629109,1945,2127,2664,1921,1730,1890,-216,-368,-420
132523941120713388,1934,2140,2696,1920,1729,1889,-216,-368,-420
132523941120953753,1964,2128,2683,1920,1729,1886,-207,-367,-428
132523941121154158,1953,2159,2700,1919,1729,1890,-207,-367,-428
132523941121290719,1961,2153,2687,1920,1728,1888,-207,-367,-428
132523941121531741,1929,2145,2673,1921,1728,1889,-208,-369,-424
132523941121664653,1911,2136,2683,1920,1729,1889,-208,-369,-424
132523941121941680,1951,2141,2668,1920,1728,1888,-208,-369,-424
132523941122080990,1931,2140,2697,1922,1730,1890,-208,-369,-424
132523941122381394,1935,2131,2672,1920,1729,1889,-214,-368,-426
132523941122567798,1940,2156,2675,1919,1729,1889,-214,-368,-426
132523941122704409,1941,2146,2676,1919,1728,1890,-214,-368,-426
132523941122953358,1949,2150,2690,1920,1728,1889,-214,-368,-427
132523941123113590,1930,2147,2682,1920,1729,1889,-214,-368,-427
132523941123229898,1951,2166,2673,1922,1731,1890,-214,-368,-427
132523941123589346,1945,2147,2687,1920,1729,1888,-210,-372,-424
132523941123851596,1925,2143,2697,1921,1730,1889,-210,-372,-424
132523941124240239,1941,2133,2696,1919,1729,1888,-210,-372,-424
132523941124564382,1937,2145,2669,1919,1729,1890,-210,-372,-424
132523941124587595,1945,2141,2690,1920,1728,1889,-206,-364,-428
132523941124603664,1947,2146,2695,1919,1728,1888,-206,-364,-428
132523941124792759,1949,2145,2670,1920,1730,1887,-206,-364,-428
132523941125040124,1937,2116,2676,1920,1728,1888,-206,-362,-425
132523941125054095,1955,2123,2681,1920,1729,1888,-206,-362,-425
132523941125328742,1946,2153,2664,1921,1729,1889,-206,-362,-425
132523941125415390,1934,2150,2685,1919,1729,1888,-206,-362,-425
132523941125591162,1944,2156,2694,1920,1729,1889,-210,-367,-423
132523941125837399,1946,2140,2657,1919,1729,1889,-210,-367,-423
132523941126078912,1937,2129,2665,1920,1729,1888,-210,-367,-423
132523941126177938,1944,2133,2686,1921,1729,1888,-208,-371,-425
132523941126453422,1930,2135,2668,1919,1728,1888,-208,-371,-425
132523941126690752,1952,2142,2675,1920,1728,1889,-208,-371,-425
132523941126753909,1950,2139,2676,1921,1730,1889,-208,-371,-425
132523941127001904,1948,2138,2694,1919,1728,1888,-215,-363,-421
132523941127241690,1945,2127,2675,1921,1729,1889,-215,-363,-421
132523941127364516,1945,2123,2695,1919,1729,1888,-215,-363,-421
132523941127624221,1943,2134,2699,1921,1729,1886,-214,-362,-428
132523941128065431,1943,2147,2684,1921,1730,1889,-214,-362,-428
132523941128077937,1943,2134,2691,1919,1729,1887,-214,-362,-428
132523941128238927,1952,2134,2679,1920,1728,1888,-214,-362,-428
132523941128378919,1948,2135,2693,1921,1729,1889,-213,-367,-425
132523941128505739,1968,2146,2690,1920,1728,1888,-213,-367,-425
132523941128754594,1948,2145,2679,1920,1730,1889,-213,-367,-425
132523941129011815,1947,2140,2679,1920,1729,1888,-217,-375,-431
132523941129177657,1945,2116,2689,1919,1729,1888,-217,-375,-431
132523941129404310,1943,2168,2655,1922,1729,1889,-217,-375,-431
132523941129701644,1949,2119,2675,1919,1729,1887,-217,-375,-431
132523941129714875,1953,2135,2682,1919,1729,1888,-211,-365,-427
132523941129974541,1958,2137,2686,1921,1729,1889,-211,-365,-427
132523941130227511,1944,2143,2679,1919,1729,1888,-211,-365,-427
132523941130240190,1936,2133,2685,1920,1729,1888,-214,-373,-426
132523941130562708,1954,2121,2692,1917,1728,1888,-214,-373,-426
132523941130705099,1941,2144,2701,1919,1729,1888,-214,-373,-426
132523941130940851,1950,2118,2677,1921,1731,1890,-214,-373,-426
132523941131148954,1931,2144,2707,1919,1728,1887,-208,-364,-422
132523941131417061,1945,2136,2701,1920,1729,1888,-208,-364,-422
132523941131426466,1943,2138,2672,1921,1730,1890,-208,-364,-422
132523941131702410,1939,2119,2702,1919,1729,1888,-212,-364,-422
132523941131802332,1959,2137,2669,1920,1729,1888,-212,-364,-422
132523941132041026,1945,2152,2681,1920,1729,1888,-212,-364,-422
132523941132323654,1969,2136,2740,1926,1732,1891,-212,-364,-422
132523941132466620,1962,2140,2668,1928,1732,1892,-213,-364,-417
132523941132716448,1859,2141,2656,1918,1727,1904,-213,-364,-417
132523941132862328,1959,2138,2656,1911,1726,1889,-213,-364,-417
132523941133041807,1940,2151,2678,1921,1731,1889,-219,-367,-425
132523941133280042,1990,2140,2703,1914,1727,1888,-219,-367,-425
132523941133416636,1939,2137,2675,1918,1728,1889,-219,-367,-425
132523941133591632,1929,2133,2682,1919,1729,1889,-219,-367,-425
132523941133827882,1950,2142,2692,1918,1729,1888,-209,-367,-431
132523941133965664,1944,2132,2675,1920,1729,1889,-209,-367,-431
132523941134201378,1938,2130,2666,1915,1725,1888,-209,-367,-431
132523941134479802,1940,2134,2655,1895,1717,1887,-212,-374,-425
132523941134616714,1944,2148,2690,1902,1718,1883,-212,-374,-425
132523941135041779,1952,2121,2694,1906,1721,1887,-212,-374,-425
132523941135050931,1994,2143,2689,1905,1723,1890,-212,-374,-425
132523941135417026,1937,2132,2679,1937,1741,1889,-208,-368,-425
132523941135440625,2000,2123,2697,1917,1735,1912,-208,-368,-425
132523941135616391,1968,2117,2689,1894,1730,1915,-208,-368,-425
132523941135752032,1888,2123,2708,1892,1752,1907,-216,-372,-423
132523941136140872,1966,2145,2683,1847,1752,1860,-216,-372,-423
132523941136224886,1972,2147,2703,1850,1754,1842,-216,-372,-423
132523941136316511,2019,2158,2683,1853,1750,1866,-216,-372,-423
132523941136766045,2007,2134,2722,1847,1763,1888,-216,-372,-423
132523941136939576,1986,2155,2696,1837,1776,1899,-216,-372,-423
132523941137002454,2039,2235,2692,1809,1800,1895,-216,-372,-423
132523941137365559,2063,2166,2657,1775,1819,1897,-243,-377,-423
132523941137439010,1969,2054,2661,1820,1818,1897,-243,-377,-423
132523941137552494,2046,2223,2793,1879,1792,1978,-243,-377,-423
132523941137830272,2052,2177,2763,1864,1789,1924,-262,-403,-413
132523941137942403,2019,2196,2707,1870,1796,1908,-262,-403,-413
