TimeStamp,XAccel,YAccel,ZAccel,XGyro,YGyro,ZGyro,XMag,YMag,ZMag
132523943869399305,1961,2144,2688,1921,1730,1890,-149,-423,-437
132523943869411549,1959,2138,2700,1920,1729,1888,-149,-423,-437
132523943869552248,1956,2142,2696,1921,1729,1889,-149,-427,-442
132523943869828001,1960,2141,2683,1921,1730,1889,-149,-427,-442
132523943869910598,1965,2152,2665,1920,1728,1888,-149,-427,-442
132523943870215764,1968,2157,2679,1920,1729,1887,-147,-421,-448
132523943870448392,1954,2126,2678,1919,1727,1888,-147,-421,-448
132523943870589094,1965,2162,2685,1920,1728,1888,-147,-421,-448
132523943870727446,1966,2164,2662,1921,1730,1889,-147,-421,-448
132523943870911044,1960,2143,2676,1920,1726,1888,-147,-424,-440
132523943871151077,1946,2139,2678,1918,1729,1888,-147,-424,-440
132523943871350918,1948,2136,2683,1920,1729,1889,-147,-424,-440
132523943871478660,1951,2132,2663,1924,1731,1890,-147,-429,-446
132523943871713024,1945,2143,2693,1920,1728,1888,-147,-429,-446
132523943872289398,1963,2146,2678,1919,1728,1887,-147,-429,-446
132523943872300967,1983,2146,2678,1921,1729,1888,-147,-429,-446
132523943872310443,1964,2128,2684,1921,1730,1890,-151,-423,-439
132523943872549023,1969,2149,2666,1921,1728,1887,-151,-423,-439
132523943872725103,1949,2142,2691,1920,1729,1887,-151,-423,-439
132523943872973669,1954,2154,2671,1922,1730,1890,-147,-416,-435
132523943873060856,1957,2157,2698,1920,1730,1889,-147,-416,-435
132523943873301822,1950,2134,2671,1920,1730,1886,-147,-416,-435
132523943873472685,1959,2139,2677,1922,1728,1889,-147,-416,-435
132523943873611812,1959,2143,2685,1919,1729,1887,-147,-424,-432
132523943873861638,1976,2151,2687,1921,1729,1889,-147,-424,-432
132523943874113089,1965,2155,2691,1920,1729,1888,-147,-424,-432
132523943874284268,1959,2144,2672,1921,1729,1889,-152,-419,-444
132523943874424032,1951,2148,2697,1921,1729,1889,-152,-419,-444
132523943874661496,1942,2150,2680,1921,1729,1887,-152,-419,-444
132523943874787846,1973,2131,2699,1922,1731,1888,-152,-419,-444
132523943875022958,1958,2139,2684,1919,1728,1887,-148,-423,-441
132523943875188081,1952,2130,2673,1919,1729,1888,-148,-423,-441
132523943875438168,1967,2141,2675,1921,1729,1890,-148,-423,-441
132523943875688134,1945,2130,2659,1920,1729,1888,-148,-419,-440
132523943875939598,1964,2127,2657,1921,1729,1889,-148,-419,-440
132523943875950949,1961,2145,2680,1921,1729,1889,-148,-419,-440
132523943876212284,1968,2159,2674,1920,1729,1890,-148,-419,-440
132523943876451820,1957,2138,2677,1918,1729,1891,-146,-420,-435
132523943876689539,1939,2153,2663,1919,1729,1888,-146,-420,-435
132523943876837533,1951,2121,2683,1919,1729,1888,-146,-420,-435
132523943876938358,1968,2126,2679,1921,1730,1889,-149,-426,-433
132523943877173410,1946,2135,2691,1919,1729,1888,-149,-426,-433
132523943877447777,1949,2137,2698,1921,1728,1889,-149,-426,-433
132523943877749496,1957,2135,2658,1921,1731,1889,-146,-415,-431
132523943877761244,1957,2146,2658,1920,1729,1888,-146,-415,-431
132523943877998144,1947,2144,2673,1922,1730,1889,-146,-415,-431
132523943878246481,1948,2127,2670,1920,1728,1888,-146,-415,-431
132523943878390315,1970,2151,2662,1920,1729,1888,-147,-422,-438
132523943878626370,1954,2129,2680,1921,1730,1889,-147,-422,-438
132523943878672937,1974,2152,2693,1919,1729,1888,-147,-422,-438
132523943878923500,1945,2137,2677,1920,1730,1887,-148,-419,-430
132523943879220984,1956,2124,2693,1919,1731,1890,-148,-419,-430
132523943879489331,1969,2123,2688,1920,1728,1888,-148,-419,-430
132523943879498907,1965,2157,2673,1920,1729,1887,-148,-419,-430
132523943879775538,1949,2142,2667,1919,1727,1887,-150,-418,-441
132523943879912688,1953,2118,2693,1919,1729,1887,-150,-418,-441
132523943880074266,1963,2162,2676,1921,1729,1890,-150,-418,-441
132523943880361689,1970,2151,2694,1919,1729,1888,-152,-421,-439
132523943880448816,1947,2144,2681,1921,1729,1886,-152,-421,-439
132523943880688943,1958,2145,2702,1920,1729,1889,-152,-421,-439
132523943880923236,1959,2141,2680,1921,1731,1892,-152,-421,-439
132523943881196542,1951,2151,2691,1920,1730,1889,-147,-422,-436
132523943881489497,1958,2147,2692,1919,1729,1888,-147,-422,-436
132523943881638139,1979,2157,2693,1920,1729,1889,-147,-422,-436
132523943881709922,1955,2143,2648,1921,1730,1889,-149,-412,-440
132523943881848835,1958,2143,2683,1920,1729,1888,-149,-412,-440
132523943882110570,1948,2145,2676,1920,1729,1888,-149,-412,-440
132523943882375603,1976,2119,2680,1919,1729,1891,-149,-412,-440
132523943882388105,1955,2159,2678,1920,1729,1888,-145,-424,-439
132523943882671551,1948,2143,2691,1919,1728,1888,-145,-424,-439
132523943882969207,1963,2127,2682,1920,1729,1888,-145,-424,-439
132523943883289133,1955,2146,2675,1920,1729,1888,-152,-434,-444
132523943883340368,1949,2151,2684,1921,1730,1890,-152,-434,-444
132523943883347426,1955,2150,2701,1919,1728,1887,-152,-434,-444
